decimalLatitude,decimalLongitude,species,eventDate,dateIdentified,depth
-14.9406,145.705,Heniochus singularius,2013-01-21T02:02Z,2013-01-21T00:00:00,8.0
27.2256,33.8977,Cymbacephalus beauforti,2005-01-02T13:55Z,2005-01-02T00:00:00,7.0
-14.9406,145.705,Heniochus acuminatus,2013-01-21T02:02Z,2013-01-21T00:00:00,8.0
-14.9406,145.705,Rhinecanthus rectangulus,2013-01-21T02:02Z,2013-01-21T00:00:00,8.0
12.4708,-70.0003,Rhinoptera bonasus,2005-09-30T10:00Z,2005-09-30T00:00:00,12.345
-33.2961,115.609,Myliobatis aquila,2013-01-20T12:30Z,2013-01-20T00:00:00,7.0
27.312,33.801,Pomacanthus maculosus,2005-01-03T10:26Z,2005-01-03T00:00:00,7.5
5.93032,102.725,Pomacanthus annularis,2004-08-02T16:40Z,2004-08-02T00:00:00,5.8
-14.9406,145.705,Balistoides conspicillum,2013-01-21T02:02Z,2013-01-21T00:00:00,8.0
12.4708,-70.0003,Sphoeroides lobatus,2005-09-30T10:00Z,2005-09-30T00:00:00,12.345
20.8058,-156.616,Neomonachus schauinslandi,2012-10-21T08:50Z,2012-10-21T00:00:00,4.57
5.93032,102.725,Siganus lineatus,2004-08-02T16:40Z,2004-08-02T00:00:00,5.8
27.312,33.801,Heteractis aurora,2005-01-03T10:26Z,2005-01-03T00:00:00,7.5
-14.9406,145.705,Spirobranchus giganteus,2013-01-21T02:02Z,2013-01-21T00:00:00,8.0
28.505,34.5199,Chaetodon paucifasciatus,2012-09-17T12:04Z,2012-09-17T00:00:00,9.45
20.681,-156.443,Pseudanthias bicolor,2013-01-12T08:22Z,2013-01-12T00:00:00,7.925
5.93032,102.725,Caranx ignobilis,2004-08-02T16:40Z,2004-08-02T00:00:00,5.8
